title,user rating score
13 Reasons Why,792
Prison Break,686
Girlboss,658
Grey's Anatomy,588
Shameless (U.S.),582
Pretty Little Liars,576
Anastasia,558
New Girl,546
The Vampire Diaries,546
Grace and Frankie,540
The Iron Giant,498
Criminal Minds,490
Finding Dory,490
Friends,490
The Office (U.S.),485
Zootopia,485
Gossip Girl,480
How to Get Away with Murder,475
Tarzan,475
The Emperor's New Groove,475
How I Met Your Mother,470
Parks and Recreation,470
The Client List,460
Scooby-Doo,430
Cool Runnings,405
The Magic School Bus,405
Antz,400
Marvel's Iron Fist,392
Orange Is the New Black,392
The Jungle Book,388
Alice Through the Looking Glass,384
Coraline,380
The Great British Baking Show,376
Hotel Transylvania 2,372
Cars Toons: Mater's Tall Tales,370
Chicken Little,368
Glee,368
Sandy Wexler,368
Scandal,368
The Angry Birds Movie,368
Gilmore Girls,364
The Road to El Dorado,364
Bates Motel,332
Santa Clarita Diet,328
Masha and the Bear,324
The Secret Life of the American Teenager,324
Balto,320
Growing Up Wild,320
The Get Down,320
Parenthood,316
Once Upon a Time,294
Breaking Bad,291
The 100,291
Lilo & Stitch,285
Sherlock,285
Supernatural,285
Bee Movie,282
Dave Chappelle,282
Home,282
Little Einsteins,280
Chewing Gum,279
White Collar,279
House of Cards,273
Kung Fu Panda,273
Life in Pieces,272
An American Tail,268
Lie to Me,267
Goosebumps,266
Dragons: Race to the Edge,264
Quantico,264
The Real Ghostbusters,260
The Little Rascals,258
Revenge,252
Walt Disney Animation Studios Short Films Collection,252
Flubber,249
Trollhunters,249
Cheer Squad,244
Baby Daddy,240
Black Mirror,240
Goldie & Bear,231
Schitt's Creek,222
The Originals,222
Animaniacs,216
Open Season: Scared Silly,216
All Hail King Julien,213
Paddington,210
Star Wars: The Clone Wars,207
Annie,204
Super Why!,204
An Extremely Goofy Movie,201
Family Guy,196
The Flash,196
The Walking Dead,196
Bones,194
Law & Order: Special Victims Unit,194
NCIS,194
The BFG,194
Arrow,192
Homeward Bound: The Incredible Journey,192
Ingobernable,192
Kubo and the Two Strings,192
London Has Fallen,192
Minions,192
The Blacklist,192
Better Call Saul,190
Narcos,188
90210,186
Greenleaf,186
Person of Interest,186
Pete's Dragon,186
The Night Shift,186
Kung Fu Panda 3,184
Fantasia,183
Talking Tom and Friends,183
Jane The Virgin,182
Sausage Party,182
One Tree Hill,180
Phineas and Ferb,178
Sand Castle,178
Twilight,178
Jessie,176
Bordertown,172
Grease,172
Brother Bear 2,171
The Pirate Fairy,171
Barbie Life in the Dreamhouse,170
Mulan 2,170
Limitless,168
The Nightmare Before Christmas,168
Nurse Jackie,164
Sofia the First,164
The Waterboy,164
Hart of Dixie,162
Rosewood,162
Sense8,162
The Prince of Egypt,162
Reign,158
Only for One Night,156
The Batman,154
PokÃ©mon: Indigo League,148
Mighty Morphin Power Rangers,146
Raising Hope,146
The Killing,146
Dawn of the Croods,144
FernGully: The Last Rainforest,140
The Carmichael Show,138
Pocoyo,134
30 Rock,132
Justice League,132
Pocahontas II: Journey to a New World,128
Portlandia,124
The Fall,122
Harry and the Hendersons,116
High School Musical 2,116
The Doctor Blake Mysteries,114
Hannah Montana: The Movie,112
Lost,98
Kevin Hart: What Now?,97
Last Man Standing,97
Atlantis: The Lost Empire,96
Hawaii Five-0,96
Blue Bloods,95
Dexter,95
Marvel's Luke Cage,95
Blank Check,93
Longmire,92
Corpse Bride,91
It's Always Sunny in Philadelphia,91
The Pacifier,91
American Horror Story,90
Charmed,90
Fuller House,90
Stranger Things,90
Marvel's Agents of S.H.I.E.L.D.,89
That '70s Show,89
The Magicians,89
Breakout Kings,88
Forensic Files,88
Naruto,88
Private Practice,88
The Cleveland Show,88
Leverage,86
Travelers,86
Burn Notice,85
Gotham,85
Heartland,85
Lab Rats,85
Lilo & Stitch 2: Stitch Has A Glitch,85
Weeds,85
Gabriel lglesias: Iâ€™m Sorry For What I Said When I Was Hungry,84
The Crown,84
The Do-Over,84
Marvel's Jessica Jones,83
Switched at Birth,83
Scooby-Doo 2: Monsters Unleashed,82
White Chicks,82
Friday Night Lights,81
Chicken Run,80
"Honey, I Shrunk the Kids",80
American Crime Story: The People v. O.J. Simpson,79
Atlantis: Milo's Return,79
Dope,79
Meet the Blacks,79
The Matchbreaker,79
The West Wing,79
Blow,78
The Adventures of Puss in Boots,78
Death in Paradise,77
Death Note,77
Gilmore Girls: A Year in the Life,77
Magic Mike,77
The Benchwarmers,77
Mad Men,75
Missione Hamburger,75
H2O: Just Add Water,74
Heavyweights,74
Ratchet and Clank,74
The Fosters,73
Baby's Day Out,71
Louis C.K. 2017,71
The Little Prince,71
Young Justice,71
D2: The Mighty Ducks,70
Madam Secretary,70
Luther,69
Skin Wars,69
The Great Gilly Hopkins,69
10 Things I Hate About You,68
Touch,68
LEGO Ninjago: Masters of Spinjitzu,67
Crossing Lines,66
Secret of the Wings,65
High School Musical,64
Spy Kids 3: Game Over,64
Step Up,64
Brickleberry,63
Californication,63
Girlfriends' Guide to Divorce,63
Trouble with the Curve,63
Safe Haven,62
Army Wives,61
Bunk'd,61
Little Boxes,61
Absolutely Fabulous,59
Being Human (U.S.),58
Haters Back Off,58
Hap and Leonard,57
Hunter X Hunter (2011),57
Bitten,56
DreamWorks Shrek's Swamp Stories,56
How to Lose a Guy in 10 Days,56
PokÃ©mon: XY,56
Curious George,55
Life Unexpected,55
